,index,Unnamed: 0,card_id,city_id,merchant_category_id,merchant_id,purchase_amount,purchase_date,state_id,subsector_id,currency,carbonEmissionInGrams
26,26,26,C_ID_241a01e9d9,69,5900,M_ID_7c26306ee3,289,2018-04-22 19:19:08,9,27,PLN,15513.11
27,27,27,C_ID_241a01e9d9,188,5655,M_ID_7c7d14fd19,666,2018-04-22 19:34:11,9,1,AUD,106544.32
28,28,28,C_ID_a97720321f,69,3675,M_ID_7064a8aa68,164,2018-03-02 12:06:23,9,1,AUD,27936.63
29,29,29,C_ID_a97720321f,69,5916,M_ID_1f4773aa76,699,2018-03-03 12:14:58,9,33,CAD,114802.52
30,30,30,C_ID_a97720321f,69,5923,M_ID_d92a9746f1,648,2018-03-01 16:28:05,9,27,EUR,159631.58
31,31,31,C_ID_a97720321f,69,3002,M_ID_00a6ca8a8a,694,2018-04-13 18:45:08,9,29,GBP,1147680.48
32,32,32,C_ID_a97720321f,69,3229,M_ID_42e45dc653,738,2018-03-02 09:30:52,9,20,CHF,945560.78
33,33,33,C_ID_a97720321f,246,5169,M_ID_d353d59d3f,747,2018-04-13 18:59:07,1,19,CHF,1524286.07
34,34,34,C_ID_a97720321f,69,3725,M_ID_0ddc5ce867,801,2018-03-03 11:58:44,9,37,AUD,136446.59
35,35,35,C_ID_a97720321f,69,5753,M_ID_d984b94f54,176,2018-03-02 06:00:35,9,20,CAD,28905.93
36,36,36,C_ID_a97720321f,69,7542,M_ID_1abfe450d5,732,2018-03-01 16:11:36,9,27,PLN,30561.01
37,37,37,C_ID_a97720321f,69,8031,M_ID_66adcdcb21,896,2018-03-01 14:21:53,9,8,EUR,80728.18
38,38,38,C_ID_a97720321f,69,5966,M_ID_34f363f2f8,842,2018-03-02 10:11:22,9,15,DKK,27877.59
39,39,39,C_ID_a97720321f,69,3929,M_ID_1b3dbfbaec,564,2018-03-01 13:50:07,9,37,SEK,14572.47
40,40,40,C_ID_fb0875cd28,271,5697,M_ID_687693a28e,945,2018-03-05 15:16:31,9,19,PLN,30294.85
41,41,41,C_ID_fb0875cd28,140,3876,M_ID_274f488e7c,601,2018-03-15 13:02:12,9,33,GBP,183314.73
42,42,42,C_ID_fb0875cd28,271,3737,M_ID_515b5c23a0,508,2018-04-13 08:20:38,9,21,GBP,154948.23
43,43,43,C_ID_fb0875cd28,271,3709,M_ID_a51260f5a6,555,2018-04-19 12:50:40,9,27,SEK,14339.93
44,44,44,C_ID_fb0875cd28,140,3391,M_ID_0bde232c50,187,2018-03-15 08:16:00,9,27,GBP,59765.93
45,45,45,C_ID_fb0875cd28,69,3977,M_ID_725a60d404,322,2018-04-04 12:11:46,9,27,GBP,98215.22
46,46,46,C_ID_fb0875cd28,331,3436,M_ID_3b3ec0f162,257,2018-03-16 08:32:37,9,36,CHF,63638.04
47,47,47,C_ID_8c9ba46f19,69,3989,M_ID_50f575c681,138,2017-12-24 15:25:30,9,7,USD,30418.05
48,48,48,C_ID_8c9ba46f19,4,3674,M_ID_f85d6b0a06,652,2017-12-14 21:22:11,10,1,SEK,16846.19
49,49,49,C_ID_8c9ba46f19,17,3799,M_ID_65c0452e8c,118,2017-11-12 00:00:00,22,34,CHF,27885.37
50,50,50,C_ID_8c9ba46f19,17,5959,M_ID_59ec08b5f6,510,2017-11-12 17:01:26,22,37,EUR,125635.97
51,51,51,C_ID_8c9ba46f19,17,3568,,429,2017-12-19 08:07:34,22,20,EUR,112531.78
52,52,52,C_ID_8c9ba46f19,4,3681,M_ID_c3294a6c4b,951,2017-12-14 11:39:08,10,37,SEK,24571.67
53,53,53,C_ID_8c9ba46f19,4,9406,M_ID_0a9ad8a715,100,2017-12-14 00:40:57,10,39,USD,12937.73
54,54,54,C_ID_8c9ba46f19,4,4899,M_ID_64c00d1e60,682,2017-12-12 04:42:32,10,37,AUD,145977.04
55,55,55,C_ID_8c9ba46f19,17,3744,M_ID_1516e4c882,506,2017-12-12 09:26:02,22,39,NOK,13140.25
56,56,56,C_ID_8c9ba46f19,17,3029,M_ID_4748aadbf3,733,2017-12-24 12:19:52,22,29,PLN,227152.6
57,57,57,C_ID_8c9ba46f19,4,3854,M_ID_d422b95fce,752,2017-12-14 19:11:53,10,33,NOK,19528.59
58,58,58,C_ID_8c9ba46f19,17,5411,M_ID_3676bcbee1,125,2017-12-16 11:57:17,22,41,CAD,27563.13
59,59,59,C_ID_8c9ba46f19,17,3794,M_ID_235fba1cce,870,2017-11-22 17:05:01,22,37,EUR,228211.29
60,60,60,C_ID_8c9ba46f19,17,3249,M_ID_a521004606,682,2017-12-30 22:33:19,22,37,USD,815033.08
61,61,61,C_ID_8c9ba46f19,107,3237,M_ID_a8fba52889,154,2017-11-15 00:00:00,4,19,GBP,254672.61
62,62,62,C_ID_8c9ba46f19,17,8031,M_ID_822309aed1,596,2017-12-28 14:56:47,22,8,USD,45122.98
63,63,63,C_ID_8c9ba46f19,17,3914,M_ID_c24b66dec7,956,2017-12-22 15:47:35,22,38,NZD,151063.91
64,64,64,C_ID_8c9ba46f19,17,7699,M_ID_0c9c0f995f,174,2017-11-14 19:14:45,22,32,PLN,9340.07
65,65,65,C_ID_8c9ba46f19,17,5399,M_ID_aebc816995,108,2017-11-21 21:36:00,22,16,NZD,11500.86
66,66,66,C_ID_8c9ba46f19,17,3768,M_ID_67f63303fc,157,2017-11-11 00:00:00,22,19,NOK,4077.11
67,67,67,C_ID_8c9ba46f19,17,3262,M_ID_c50d5d8042,490,2017-11-21 21:33:49,22,34,USD,585580.95
68,68,68,C_ID_8c9ba46f19,17,8249,M_ID_787118d4d4,408,2017-12-23 23:05:21,22,37,SEK,6187.57
69,69,69,C_ID_8c9ba46f19,17,3825,M_ID_9000765cad,248,2017-11-11 00:00:00,22,34,CHF,58606.55
70,70,70,C_ID_8c9ba46f19,107,5893,M_ID_0d62d8ac27,348,2017-11-15 00:00:00,4,12,CHF,77232.42
71,71,71,C_ID_8c9ba46f19,17,3089,M_ID_156243230b,979,2017-12-31 15:18:32,22,37,DKK,187127.86
72,72,72,C_ID_8c9ba46f19,17,3017,M_ID_0851298221,999,2017-12-26 11:54:48,22,37,CAD,947223.45
73,73,73,C_ID_8c9ba46f19,107,3633,M_ID_39833009b5,206,2017-11-15 18:29:27,4,37,USD,45406.65
74,74,74,C_ID_8c9ba46f19,17,5051,M_ID_109a493327,845,2017-12-12 08:07:24,22,19,NZD,1152951.3
75,75,75,C_ID_8c9ba46f19,107,5651,M_ID_0d62d8ac27,416,2017-11-15 00:00:00,4,12,EUR,61203.05
76,76,76,C_ID_7e64479fbb,223,3262,M_ID_fde06ecdf2,679,2018-02-07 10:00:14,21,2,GBP,1122874.7
77,77,77,C_ID_7e64479fbb,223,3262,M_ID_e96051e426,615,2018-02-18 19:15:55,21,37,RUB,10058.41
78,78,78,C_ID_7e64479fbb,333,3722,M_ID_4e7024c4f8,417,2018-03-17 21:16:37,21,16,SEK,10774.33
79,79,79,C_ID_7e64479fbb,264,3756,M_ID_2a6af4fe53,943,2018-03-07 17:25:04,18,19,AUD,160635.62
80,80,80,C_ID_7e64479fbb,223,3575,M_ID_cdb87c1fdf,584,2018-02-14 16:58:14,21,15,DKK,20588.75
81,81,81,C_ID_7e64479fbb,160,7933,M_ID_456c29b4e8,832,2018-03-27 23:53:33,21,37,PLN,20055.91
82,82,82,C_ID_7e64479fbb,160,4899,M_ID_48f6068490,842,2018-02-27 21:53:34,21,37,NZD,167180.24
83,83,83,C_ID_7e64479fbb,160,5764,M_ID_755c2055fe,982,2018-03-23 13:54:13,21,27,EUR,241910.82
84,84,84,C_ID_7e64479fbb,223,52,M_ID_80c4fc2809,500,2018-02-07 11:34:32,21,36,NZD,99619.19
85,85,85,C_ID_7e64479fbb,333,7298,M_ID_70ce390060,393,2018-02-13 19:32:10,9,37,RUB,695.85
86,86,86,C_ID_7e64479fbb,223,3413,M_ID_dc5e6345b3,119,2018-03-28 16:42:03,21,1,GBP,38032.87
87,87,87,C_ID_7e64479fbb,223,3860,M_ID_87d1a8c459,275,2018-02-04 01:33:04,21,19,CAD,48092.91
88,88,88,C_ID_7e64479fbb,264,5844,M_ID_aa2d372c58,464,2018-02-23 20:34:30,18,16,DKK,15362.47
89,89,89,C_ID_7e64479fbb,223,3970,M_ID_d419404204,875,2018-03-04 17:10:54,21,37,SEK,22608.0
90,90,90,C_ID_7e64479fbb,160,3737,M_ID_c8714e60a4,841,2018-03-14 08:30:37,21,18,NZD,132892.0
91,91,91,C_ID_7e64479fbb,223,5883,M_ID_16de6b724d,412,2018-02-17 11:25:23,21,27,CHF,91436.08
92,92,92,C_ID_0a6ceeffcc,143,3695,M_ID_49d35a5b24,150,2017-12-09 11:37:54,5,37,NOK,3895.33
93,93,93,C_ID_0a6ceeffcc,143,8999,M_ID_f9b32cfc49,943,2017-12-16 15:25:52,5,33,CAD,154876.65
94,94,94,C_ID_0a6ceeffcc,333,5840,M_ID_40fa1641fb,125,2017-12-22 13:52:37,9,29,NOK,3048.52
95,95,95,C_ID_0a6ceeffcc,143,7321,M_ID_a581126f45,942,2017-12-09 18:40:38,5,34,PLN,50565.22
96,96,96,C_ID_0a6ceeffcc,143,3708,M_ID_3dab3fd564,951,2017-11-24 00:00:00,5,27,SEK,24571.67
97,97,97,C_ID_0a6ceeffcc,169,5857,M_ID_312646f806,421,2017-11-17 18:01:41,20,34,USD,87148.57
98,98,98,C_ID_0a6ceeffcc,143,4722,M_ID_0f6a955e5a,447,2017-11-29 15:27:49,5,37,CHF,99203.71
99,99,99,C_ID_0a6ceeffcc,143,3971,,643,2017-11-24 00:00:00,5,27,AUD,109532.03
100,100,100,C_ID_0a6ceeffcc,143,3004,M_ID_dae6caf288,861,2017-11-02 12:39:37,5,34,NZD,737640.26
101,101,101,C_ID_0a6ceeffcc,143,7033,M_ID_95fb466d79,324,2017-11-27 19:19:44,5,39,AUD,51832.37
102,102,102,C_ID_0a6ceeffcc,143,3866,M_ID_5828670504,376,2017-12-07 19:10:03,5,19,NZD,59414.26
103,103,103,C_ID_0a6ceeffcc,149,3659,M_ID_9f83e4de3e,191,2017-11-11 10:51:50,20,27,EUR,50101.56
104,104,104,C_ID_0a6ceeffcc,143,3131,M_ID_1bd1f2e1c0,818,2017-11-25 00:00:00,5,37,SEK,114589.82
105,105,105,C_ID_0a6ceeffcc,69,3024,M_ID_cd2c0b07e9,863,2017-12-08 13:18:05,9,17,PLN,267438.87
106,106,106,C_ID_0a6ceeffcc,149,3941,M_ID_9242ab6306,754,2017-11-11 15:03:12,20,19,SEK,19481.64
107,107,107,C_ID_0a6ceeffcc,143,3397,M_ID_804c32055b,142,2017-12-01 16:39:58,5,16,EUR,39029.72
108,108,108,C_ID_0a6ceeffcc,149,3141,M_ID_df5b2ef420,578,2017-11-11 08:35:12,20,19,CHF,740561.15
109,109,109,C_ID_0a6ceeffcc,143,3837,M_ID_df7d010451,939,2017-12-21 11:39:28,5,1,NOK,24384.77
110,110,110,C_ID_0a6ceeffcc,143,22,M_ID_00c43dc392,588,2017-11-17 00:00:00,5,19,AUD,125857.04
111,111,111,C_ID_0a6ceeffcc,69,3807,M_ID_50f575c681,405,2017-11-26 13:57:02,9,7,GBP,123531.56
112,112,112,C_ID_0a6ceeffcc,143,5948,M_ID_c4d3d50783,474,2017-11-14 12:11:12,5,30,NZD,70340.77
113,113,113,C_ID_1f236c50e6,4,3190,M_ID_df85bd38ef,732,2018-03-28 21:19:48,10,8,AUD,676051.63
114,114,114,C_ID_1f236c50e6,4,5746,M_ID_791b514047,788,2018-03-29 14:54:58,10,16,SEK,19120.81
115,115,115,C_ID_1f236c50e6,4,3846,M_ID_5545f2a5d8,809,2018-04-27 20:24:42,10,19,NOK,21008.82
116,116,116,C_ID_1f236c50e6,4,5198,M_ID_63b4207398,617,2018-03-02 20:04:18,10,33,NZD,841859.12
117,117,117,C_ID_1f236c50e6,4,3131,M_ID_48bdf62b6c,925,2018-04-03 17:29:59,10,36,USD,1105433.44
118,118,118,C_ID_1f236c50e6,4,3791,M_ID_da1c9f7c46,760,2018-04-03 19:57:20,10,19,GBP,231812.31
119,119,119,C_ID_1f236c50e6,4,5836,M_ID_595ba91bf5,914,2018-03-03 09:27:43,10,19,GBP,261815.3
120,120,120,C_ID_1f236c50e6,4,9753,M_ID_5aed9f9aef,151,2018-04-24 09:24:22,10,16,DKK,3124.64
121,121,121,C_ID_1f236c50e6,4,3292,M_ID_a29cb58fd2,823,2018-04-06 11:45:19,10,33,PLN,255043.09
122,122,122,C_ID_1f236c50e6,266,3288,M_ID_8ea956ccfc,766,2018-03-28 16:16:22,9,12,NZD,656251.38
123,123,123,C_ID_1f236c50e6,4,3928,M_ID_51da3cd36f,779,2018-03-01 18:25:39,10,15,CAD,136234.09
124,124,124,C_ID_cde58e2519,155,3163,M_ID_7f335fc115,704,2018-03-27 22:04:17,9,16,NOK,99120.7
125,125,125,C_ID_cde58e2519,2,5051,M_ID_697f7e4272,154,2018-02-12 12:36:59,11,16,NZD,210123.67
126,126,126,C_ID_cde58e2519,87,3753,M_ID_1525311bf5,743,2018-02-07 12:22:13,11,18,AUD,126566.56
127,127,127,C_ID_cde58e2519,87,3398,M_ID_000ab1982d,712,2018-02-07 12:30:47,11,19,EUR,195698.31
128,128,128,C_ID_cde58e2519,2,7997,M_ID_31e690d394,519,2018-02-11 11:21:51,11,33,DKK,7716.64
129,129,129,C_ID_cde58e2519,69,3214,M_ID_1e1f6cc067,880,2018-03-28 19:01:22,9,1,AUD,812739.67
130,130,130,C_ID_cde58e2519,69,3862,M_ID_50f575c681,823,2018-02-07 11:07:47,9,7,NZD,130047.7
131,131,131,C_ID_cde58e2519,69,3790,M_ID_4872b26e10,750,2018-03-28 19:06:37,9,39,NOK,19476.65
132,132,132,C_ID_cde58e2519,329,3140,M_ID_b8f688291e,295,2018-03-25 08:27:12,9,19,CHF,377968.06
133,133,133,C_ID_cde58e2519,2,3946,M_ID_1bafb2fac2,917,2018-02-12 19:35:00,11,34,NOK,23813.45
134,134,134,C_ID_0e764b1f60,158,3842,M_ID_041909d604,619,2018-03-13 22:46:13,15,37,CAD,108252.76
135,135,135,C_ID_0e764b1f60,158,3913,M_ID_8e6284dbff,823,2018-03-17 09:03:13,15,27,CAD,143928.95
136,136,136,C_ID_0e764b1f60,158,3684,M_ID_ea3e266c07,472,2018-03-14 09:14:51,15,33,GBP,143967.64
137,137,137,C_ID_0e764b1f60,69,3715,M_ID_9054f69343,453,2018-03-20 20:34:26,9,17,AUD,77166.42
138,138,138,C_ID_0e764b1f60,158,3079,M_ID_e68fb6acf1,442,2018-03-03 10:18:46,15,16,PLN,136973.33
139,139,139,C_ID_0e764b1f60,158,6300,M_ID_cda8b87aa1,155,2018-04-20 19:23:12,15,17,USD,32085.58
140,140,140,C_ID_f4f2312ef3,-1,3141,M_ID_9dbbaabb0a,136,2018-04-26 17:50:31,-1,27,CAD,128951.34
141,141,141,C_ID_f4f2312ef3,291,3729,M_ID_9139332ccc,552,2018-04-12 22:50:25,9,7,GBP,168368.94
142,142,142,C_ID_f4f2312ef3,143,8049,M_ID_0ee469ce3d,348,2018-03-17 12:05:41,5,19,SEK,3088.39
143,143,143,C_ID_f4f2312ef3,143,3205,M_ID_244728b426,208,2018-03-23 08:55:15,5,29,CAD,197219.7
144,144,144,C_ID_f4f2312ef3,143,3891,M_ID_4c0ec36fd9,400,2018-04-28 16:33:28,5,20,GBP,122006.48
145,145,145,C_ID_f4f2312ef3,143,7342,M_ID_f9b32cfc49,585,2018-03-30 12:48:19,5,33,NOK,14267.07
146,146,146,C_ID_f4f2312ef3,143,3677,M_ID_9aa61c2f7e,981,2018-03-24 00:50:44,5,19,USD,216232.64
147,147,147,C_ID_f4f2312ef3,143,3236,M_ID_70cb3189b9,532,2018-03-31 20:55:15,5,29,NZD,455777.72
148,148,148,C_ID_f4f2312ef3,143,5758,M_ID_72260296d6,648,2018-03-15 12:36:38,5,34,CAD,106426.37
149,149,149,C_ID_f4f2312ef3,-1,3561,M_ID_61c5771832,578,2018-04-13 19:49:03,-1,18,SEK,14934.2
150,150,150,C_ID_f4f2312ef3,143,5978,M_ID_9a0466d9f1,203,2018-03-27 14:47:08,5,20,CAD,33340.36
151,151,151,C_ID_f4f2312ef3,143,3732,M_ID_fade8817c1,678,2018-03-29 07:51:54,5,36,USD,149445.19
152,152,152,C_ID_d15cd87e37,331,3655,M_ID_720bad947c,993,2018-03-03 16:03:57,16,31,EUR,260475.65
153,153,153,C_ID_d15cd87e37,69,3675,M_ID_cd2c0b07e9,312,2018-03-26 06:43:24,9,17,RUB,941.17
154,154,154,C_ID_d15cd87e37,73,3949,,785,2018-03-28 14:22:31,19,34,GBP,239437.71
155,155,155,C_ID_d15cd87e37,73,7393,M_ID_453409b0c7,901,2018-04-22 23:00:34,19,7,NOK,21973.73
156,156,156,C_ID_d15cd87e37,73,3862,M_ID_17eb896bf2,161,2018-03-28 14:32:52,19,21,SEK,4159.87
157,157,157,C_ID_d15cd87e37,73,3724,M_ID_cd89a8327a,871,2018-04-02 08:32:04,19,15,USD,191986.37
158,158,158,C_ID_d15cd87e37,73,5888,M_ID_05ee553dcc,187,2018-03-26 17:32:44,19,27,DKK,6191.34
159,159,159,C_ID_d15cd87e37,73,3766,M_ID_3257279e4b,779,2018-03-28 09:23:41,19,21,PLN,44525.89
160,160,160,C_ID_d15cd87e37,322,5756,M_ID_b19f92d2dc,425,2018-03-24 13:53:03,11,37,EUR,104696.64
161,161,161,C_ID_d15cd87e37,73,3023,M_ID_8949e3f6e1,836,2018-03-26 15:31:14,19,21,EUR,1188947.77
162,162,162,C_ID_d15cd87e37,73,3525,M_ID_b842668804,203,2018-03-24 05:27:04,19,19,RUB,612.37
163,163,163,C_ID_d15cd87e37,20,3998,M_ID_d23623b922,203,2018-03-26 04:59:27,19,19,USD,44745.39
164,164,164,C_ID_d15cd87e37,73,3065,M_ID_ae87537ce2,557,2018-03-28 12:53:43,19,21,DKK,106466.01
165,165,165,C_ID_d15cd87e37,322,5934,M_ID_e401967803,396,2018-03-26 11:39:17,11,19,SEK,9608.93
166,166,166,C_ID_d15cd87e37,20,5199,M_ID_64938a1834,677,2018-03-24 14:44:41,19,34,NOK,16510.78
167,167,167,C_ID_d15cd87e37,73,3267,M_ID_8c993604d2,251,2018-03-28 16:32:35,19,19,CAD,237991.08
168,168,168,C_ID_d15cd87e37,73,3110,M_ID_7977145a36,384,2018-04-10 07:46:12,19,27,RUB,6280.37
169,169,169,C_ID_d15cd87e37,73,5621,M_ID_405fe5c48e,621,2018-03-26 18:00:06,19,27,EUR,91363.21
170,170,170,C_ID_d15cd87e37,20,8062,M_ID_1f268ecd9d,690,2018-03-26 10:12:17,19,18,PLN,13546.39
171,171,171,C_ID_d15cd87e37,73,3018,M_ID_8902e8f2bd,857,2018-03-27 07:43:22,19,34,SEK,120053.15
172,172,172,C_ID_d15cd87e37,20,3864,M_ID_db3e50268c,356,2018-03-24 16:35:47,19,19,AUD,60642.93
173,173,173,C_ID_d15cd87e37,73,9311,M_ID_a8bb241872,474,2018-03-28 23:55:46,19,37,GBP,84860.81
174,174,174,C_ID_d15cd87e37,73,5828,M_ID_d50e129586,576,2018-03-26 12:55:57,19,18,RUB,1631.79
175,175,175,C_ID_95bea8a938,314,3834,M_ID_6ccc1a7c62,379,2017-08-29 13:26:05,9,37,PLN,21662.79
176,176,176,C_ID_95bea8a938,314,5752,M_ID_f4a5c4200a,242,2017-09-14 15:13:08,9,37,NOK,5901.93
177,177,177,C_ID_95bea8a938,19,3407,M_ID_1fca6d4757,172,2017-08-01 14:17:53,9,34,SEK,4656.63
178,178,178,C_ID_95bea8a938,314,3981,M_ID_24a74e1f03,555,2017-08-07 14:38:02,9,36,DKK,19566.36
179,179,179,C_ID_95bea8a938,19,3959,M_ID_fb6fe70b18,990,2017-08-11 13:43:00,9,37,AUD,168641.85
180,180,180,C_ID_95bea8a938,291,9402,M_ID_9139332ccc,389,2017-09-05 16:28:06,9,7,NOK,5929.37
181,181,181,C_ID_95bea8a938,19,9950,M_ID_1c8cd070e3,468,2017-09-01 11:47:57,9,34,SEK,7097.51
182,182,182,C_ID_95bea8a938,314,5198,M_ID_ecfc36e2c4,346,2017-08-03 09:42:22,9,36,EUR,783691.96
183,183,183,C_ID_95bea8a938,19,3568,M_ID_b6b55dbeb2,458,2017-09-13 17:01:36,9,19,DKK,16146.66
184,184,184,C_ID_95bea8a938,199,3284,M_ID_87c3f9fccc,352,2017-09-19 16:53:35,14,37,USD,420662.24
185,185,185,C_ID_458deb9a23,117,3783,M_ID_7227479a4e,186,2018-01-10 09:14:48,13,19,CAD,32528.29
186,186,186,C_ID_fd55871fd8,187,3571,M_ID_3df6c7b4c0,146,2018-02-09 15:43:26,15,21,RUB,440.42
187,187,187,C_ID_fd55871fd8,-1,1421,M_ID_eab68f7390,940,2018-02-20 11:21:49,-1,25,CAD,92201.51
188,188,188,C_ID_fd55871fd8,187,3060,M_ID_3c9e8ab2a4,706,2018-02-03 19:46:47,15,16,RUB,11546.73
189,189,189,C_ID_fd55871fd8,187,3600,M_ID_2a7d376053,729,2018-02-10 09:33:55,15,16,USD,160686.64
190,190,190,C_ID_fd55871fd8,187,3108,M_ID_ecd46fe36c,846,2018-02-23 15:16:18,15,21,AUD,781338.36
191,191,191,C_ID_be71a60d23,143,3168,M_ID_ab392e3714,152,2018-03-01 05:47:19,5,36,GBP,251365.18
192,192,192,C_ID_be71a60d23,333,3191,M_ID_1fb0d13ea0,608,2018-03-08 18:27:49,9,19,AUD,
193,193,193,C_ID_be71a60d23,143,3524,M_ID_12c118b802,105,2018-04-30 17:44:44,5,29,DKK,3701.74
194,194,194,C_ID_be71a60d23,260,3085,M_ID_87df22c957,766,2018-04-14 12:58:41,5,33,NZD,656251.38
195,195,195,C_ID_be71a60d23,143,5745,M_ID_c5ec6bf227,801,2018-04-20 13:18:43,5,36,RUB,2269.21
196,196,196,C_ID_be71a60d23,143,5779,M_ID_77d0dd1466,187,2018-04-04 05:59:37,5,29,CAD,30712.55
197,197,197,C_ID_be71a60d23,143,4111,M_ID_d59719f90f,708,2018-04-01 08:31:03,5,33,PLN,50848.53
198,198,198,C_ID_be71a60d23,143,5982,M_ID_ef271768c5,830,2018-03-31 17:49:37,5,19,GBP,237753.5
199,199,199,C_ID_be71a60d23,143,3849,M_ID_498e682df4,760,2018-03-10 09:56:30,5,33,CAD,132911.31
200,200,200,C_ID_be71a60d23,143,3417,M_ID_85012138f3,297,2018-03-16 08:26:48,5,20,NZD,49175.47
201,201,201,C_ID_be71a60d23,143,5929,M_ID_bd35a47689,633,2018-03-19 19:19:19,5,33,DKK,20957.85
202,202,202,C_ID_be71a60d23,260,3694,M_ID_fbd6eceb6a,556,2018-04-21 12:15:02,5,19,NOK,14438.69
203,203,203,C_ID_be71a60d23,201,3104,M_ID_8e6144f52e,923,2018-04-06 10:53:50,5,1,CHF,1182591.59
204,204,204,C_ID_56eb88fdac,69,9222,M_ID_ecd76ee666,906,2018-04-19 09:33:09,9,21,USD,117215.86
205,205,205,C_ID_56eb88fdac,69,3692,M_ID_de1122e470,123,2018-04-19 13:58:51,9,21,AUD,20952.47
206,206,206,C_ID_56eb88fdac,69,3361,M_ID_50f575c681,101,2018-03-04 21:02:09,9,7,NOK,2748.3
207,207,207,C_ID_56eb88fdac,69,3650,M_ID_6e4c12d565,564,2018-04-18 12:10:04,9,37,AUD,96074.75
208,208,208,C_ID_56eb88fdac,69,5965,M_ID_9fa541c3e3,197,2018-04-06 03:33:05,9,19,NOK,4804.47
209,209,209,C_ID_56eb88fdac,69,3666,M_ID_cd2c0b07e9,495,2018-04-22 09:57:01,9,17,NZD,78218.24
210,210,210,C_ID_56eb88fdac,69,7339,M_ID_b36dcc2b98,200,2018-04-19 12:39:18,9,37,SEK,4853.0
211,211,211,C_ID_56eb88fdac,69,30,M_ID_5ba019a379,669,2018-04-23 17:47:24,9,37,NOK,16315.68
212,212,212,C_ID_56eb88fdac,69,5871,M_ID_3d010b5fb1,881,2018-04-18 13:46:32,9,31,RUB,2495.84
